Location Name,Address,
Black Creek Sand Mine,"1357 Eddie Horton Road,  Mount Croghan, SC, 29727",
Buckhorn Quarry,"3410 US Hwy 601 South,  Jefferson, SC, 29718",
Greenville Sand Mine,"2703 NC 222,  Greenville, NC, 27834",
Ivanhoe Sand Mine,"3596 Dr Kerr Road,  Ivanhoe, NC, 28447",
Linden Sand Mine,"8240 Carlos Road,  Linden, NC, 28356",
Wade Sand Mine,"4755 Game Road,  Wade, NC, 28395",
Cherokee County Quarry,"235 Marres Top Road,  Murphy, NC, 28906",
Dillsboro Quarry,"627 Mack Town Road,  Dillsboro, NC, 28725",
Franklin Quarry,"136 Rock Quarry Road,  Franklin, NC, 28734",
Hayesville Quarry,"2062 McDonald Road,  Hayesville, NC, 28904",
Waynesville Quarry,"47 Big Cove Road,  Waynesville, NC, 28786",
Eden Quarry,"11661 Hwy 770,  Eden, NC, 27288",
Mount Airy Quarry,"525 Quarry Road,  Mount Airy, NC, 27030",
Butner Quarry,"100 Sunrock Drive,  Butner, NC, 27509-0025",
Kittrell Quarry,"214 Sunrock Road,  Kittrell, NC, 27544",
Woodsdale Quarry,"5280 Woodsdale Road,  Roxboro, NC, 27574",
Harnett County Quarry,"696 Claude White Road,  Cameron, NC, 28326",
Montgomery County Quarry,"4295 Hwy 220 S Alt.,  Candor, NC, 27229",
Crabtree Quarry,"5001 Duraleigh Road,  Raleigh, NC, 27612",
Elliott Sand and Gravel,"4880 NC Highway 217,  Erwin, NC, 28339",
Gardner Quarry,"3155 NC 210 South,  Bunnlevel, NC, 28323",
Holly Springs Quarry,"7000 Cass Holt Road,  Holly Springs, NC, 27540",
Neverson Quarry,"7225 Neverson Road,  Sims, NC, 27880",
Princeton Quarry,"476 Edwards Road,  Princeton, NC, 27569",
Raleigh Quarry,"10501 Capital Boulevard,  Wake Forest, NC, 27587",
Rocky Mount Quarry,"10471 NC 97 West,  Rocky Mount, NC, 27801",
Rougemont Quarry,"1423 Bacon Road,  Rougemont, NC, 27572",
Aquadale Quarry,"12423 Old Aquadale Road,  Norwood, NC, 28128",
B V Hedrick Gravel & Sand Co.,"403 Gravel Plant Road / Hwy 74 E,  Lilesville, NC, 28091",
Green River Quarry,"3675 Spartanburg Hwy East,  Flat Rock, NC, 28731",
Grove Stone & Sand Plant,"Old US Hwy 70 West,  Black Mountain, NC, 28711",
Lake Norman Quarry,"6941 Quarry Lane,  Stanley, NC, 28164",
Norman Sand,"407 Yarborough Road,  Candor, NC, 27229",
North Buncombe Quarry,"100 Goldview Road,  Asheville, NC, 28804",
Piedmont Sand Company,"952 Thompson Creek Road,  Pageland, SC, 29728",
South McDowell Quarry,"1182 Old Glenwood Road,  Marion, NC, 28752",
Whitewater Quarry,"2000 Whitewater Road,  Sapphire, NC, 28774",
Pittsboro Plant,"4189 NC 87 South,  Moncure",
Arrowood Quarry,"11325 Texland Boulevard,  Charlotte, NC, 28217",
Bakers Quarry,"2111 Rocky River Road,  Monroe, NC, 28110",
Bessemer City Quarry,"136 Beam Lane,  Bessemer City, NC, 28016",
Bonds Quarry,"7219 Weddington Road,  Concord, NC, 28027",
Charlotte Quarry,"4551 Beatties Ford Road,  Charlotte, NC, 28216",
Chesterfield Quarry,"65818 Highway 151,  Jefferson, SC, 29718",
Kings Mountain Quarry,"181 Quarry Road,  Kings Mountain, NC, 28086",
Loamy Sand,"4540 Timrod Road,  Bethune, SC, 29009",
Mallard Creek Quarry,"575 E. Mallard Creek Church Road,  Charlotte, NC, 28262",
Matthews Quarry,"1601 Sam Newell Road,  Matthews, NC, 28106",
Rock Hill Quarry,"P O Box 832,  Rock Hill, SC, 29731",
Rocky River Quarry,"450 Runningbrook Road,  Midland, NC, 28107",
Asheboro Quarry,"2757 Hopewood Road,  Randleman, NC, 27317",
Black Ankle,"371 Black Ankle Road,  Star, NC, 27356",
Burlington Quarry,"1671 Huffman Mill Road,  Burlington, NC, 27215",
Caldwell Quarry,"1325 Bradford Mountain Road,  Lenoir, NC, 28645",
Central Rock Company,"3957 Liberty Road,  Greensboro, NC, 27406",
Denver Quarry,"4965 Highway 16 North,  Denver, NC, 28037",
East Alamance Quarry,"1666 Route 49 North,  Haw River, NC, 27258",
Hickory Quarry,"1989 11th Avenue SE,  Hickory, NC, 28602",
Hicone Quarry,"5800 Eckerson Road,  Greensboro, NC, 27405",
Jamestown Quarry,"5725 Riverdale Drive,  Jamestown, NC, 27282",
Kannapolis Quarry,"2270 China Grove Road,  China Grove, NC, 28023",
Maiden Quarry,"1575 W. Maiden Road,  Maiden, NC, 28650",
Pomona Quarry,"825 Marietta Road,  Greensboro, NC, 27410",
