Street,City,State,Zip,Unnamed: 4,Unnamed: 5,Full_Address,Latitude,Longitude
1357 Eddie Horton Road,Mount Croghan,SC,29727,,,"1357 Eddie Horton Road, Mount Croghan, SC 29727",34.7177076,-80.2846771
3410 US Hwy 601 South,Jefferson,SC,29718,,,"3410 US Hwy 601 South, Jefferson, SC 29718",34.6501547,-80.3889566
2703 NC 222,Greenville,NC,27834,,,"2703 NC 222, Greenville, NC 27834",35.699699,-77.4800568
3596 Dr Kerr Road,Ivanhoe,NC,28447,,,"3596 Dr Kerr Road, Ivanhoe, NC 28447",34.621665,-78.271925
8240 Carlos Road,Linden,NC,28356,,,"8240 Carlos Road, Linden, NC 28356",35.2081422,-78.7603006
4755 Game Road,Wade,NC,28395,,,"4755 Game Road, Wade, NC 28395",35.1590983,-78.8091046
235 Marres Top Road,Murphy,NC,28906,,,"235 Marres Top Road, Murphy, NC 28906",35.08758359999999,-84.0346315
627 Mack Town Road,Dillsboro,NC,28725,,,"627 Mack Town Road, Dillsboro, NC 28725",35.3666087,-83.2610552
136 Rock Quarry Road,Franklin,NC,28734,,,"136 Rock Quarry Road, Franklin, NC 28734",35.16325440000001,-83.42627720000002
2062 McDonald Road,Hayesville,NC,28904,,,"2062 McDonald Road, Hayesville, NC 28904",34.9919809,-83.8489141
47 Big Cove Road,Waynesville,NC,28786,,,"47 Big Cove Road, Waynesville, NC 28786",35.4403481,-83.0073719
11661 Hwy 770,Eden,NC,27288,,,"11661 Hwy 770, Eden, NC 27288",36.539462,-79.670926
525 Quarry Road,Mount Airy,NC,27030,,,"525 Quarry Road, Mount Airy, NC 27030",36.46146969999999,-80.5933039
100 Sunrock Drive,Butner,NC,27509,,,"100 Sunrock Drive, Butner, NC 27509",36.122581,-78.768442
214 Sunrock Road,Kittrell,NC,27544,,,"214 Sunrock Road, Kittrell, NC 27544",36.16973,-78.44394299999999
5280 Woodsdale Road,Roxboro,NC,27574,,,"5280 Woodsdale Road, Roxboro, NC 27574",36.5158329,-78.9668565
696 Claude White Road,Cameron,NC,28326,,,"696 Claude White Road, Cameron, NC 28326",35.3092041,-79.15672909999999
4295 Hwy 220 S Alt.,Candor,NC,27229,,,"4295 Hwy 220 S Alt., Candor, NC 27229",35.22995,-79.724374
5001 Duraleigh Road,Raleigh,NC,27612,,,"5001 Duraleigh Road, Raleigh, NC 27612",35.8491633,-78.7110142
4880 NC Highway 217,Erwin,NC,28339,,,"4880 NC Highway 217, Erwin, NC 28339",35.3185978,-78.6789826
3155 NC 210 South,Bunnlevel,NC,28323,,,"3155 NC 210 South, Bunnlevel, NC 28323",35.3594781,-78.84223999999999
7000 Cass Holt Road,Holly Springs,NC,27540,,,"7000 Cass Holt Road, Holly Springs, NC 27540",35.6024967,-78.8776657
7225 Neverson Road,Sims,NC,27880,,,"7225 Neverson Road, Sims, NC 27880",35.767075,-78.08471399999999
476 Edwards Road,Princeton,NC,27569,,,"476 Edwards Road, Princeton, NC 27569",35.4699397,-78.1363952
10501 Capital Boulevard,Wake Forest,NC,27587,,,"10501 Capital Boulevard, Wake Forest, NC 27587",35.9259397,-78.54960489999999
10471 NC 97 West,Rocky Mount,NC,27801,,,"10471 NC 97 West, Rocky Mount, NC 27801",35.9722193,-77.7609956
1423 Bacon Road,Rougemont,NC,27572,,,"1423 Bacon Road, Rougemont, NC 27572",36.22652739999999,-78.94973870000001
12423 Old Aquadale Road,Norwood,NC,28128,,,"12423 Old Aquadale Road, Norwood, NC 28128",35.2356731,-80.2397016
403 Gravel Plant Road / Hwy 74 E,Lilesville,NC,28091,,,"403 Gravel Plant Road / Hwy 74 E, Lilesville, NC 28091",34.9505822,-79.92996049999999
3675 Spartanburg Hwy East,Flat Rock,NC,28731,,,"3675 Spartanburg Hwy East, Flat Rock, NC 28731",35.2637288,-82.4082023
Old US Hwy 70 West,Black Mountain,NC,28711,,,"Old US Hwy 70 West, Black Mountain, NC 28711",35.6187812,-82.2960745
6941 Quarry Lane,Stanley,NC,28164,,,"6941 Quarry Lane, Stanley, NC 28164",35.4285373,-81.0175349
407 Yarborough Road,Candor,NC,27229,,,"407 Yarborough Road, Candor, NC 27229",35.198296,-79.742612
100 Goldview Road,Asheville,NC,28804,,,"100 Goldview Road, Asheville, NC 28804",35.6874566,-82.60767419999999
952 Thompson Creek Road,Pageland,SC,29728,,,"952 Thompson Creek Road, Pageland, SC 29728",34.7567427,-80.316735
1182 Old Glenwood Road,Marion,NC,28752,,,"1182 Old Glenwood Road, Marion, NC 28752",35.6333084,-81.9615255
